year,country_x,city,avg_temp,ma
1840,Vietnam,Hanoi,21,
1841,Vietnam,Hanoi,21.3,
1842,Vietnam,Hanoi,21.16,
1843,Vietnam,Hanoi,21.26,
1844,Vietnam,Hanoi,20.78,
1845,Vietnam,Hanoi,20.68,21.1
1846,Vietnam,Hanoi,21.25,21.036
1847,Vietnam,Hanoi,20.83,21.026
1848,Vietnam,Hanoi,20.73,20.96
1849,Vietnam,Hanoi,20.94,20.854
1850,Vietnam,Hanoi,21.11,20.886
1851,Vietnam,Hanoi,21.26,20.972
1852,Vietnam,Hanoi,21.12,20.974
1853,Vietnam,Hanoi,21.51,21.032
1854,Vietnam,Hanoi,21.45,21.188
1855,Vietnam,Hanoi,21.1,21.29
1856,Vietnam,Hanoi,20.69,21.288
1857,Vietnam,Hanoi,20.89,21.174
1858,Vietnam,Hanoi,21.1,21.128
1859,Vietnam,Hanoi,21.24,21.046
1860,Vietnam,Hanoi,21.12,21.004
1861,Vietnam,Hanoi,20.95,21.008
1862,Vietnam,Hanoi,20.48,21.06
1863,Vietnam,Hanoi,20.9,20.978
1864,Vietnam,Hanoi,20.77,20.938
1865,Vietnam,Hanoi,21.41,20.844
1866,Vietnam,Hanoi,21.24,20.902
1867,Vietnam,Hanoi,21.4,20.96
1868,Vietnam,Hanoi,21.53,21.144
1869,Vietnam,Hanoi,21.18,21.27
1870,Vietnam,Hanoi,21.35,21.352
1871,Vietnam,Hanoi,21.3,21.34
1872,Vietnam,Hanoi,21.47,21.352
1873,Vietnam,Hanoi,21.32,21.366
1874,Vietnam,Hanoi,21.4,21.324
1875,Vietnam,Hanoi,21.1,21.368
1876,Vietnam,Hanoi,20.9,21.318
1877,Vietnam,Hanoi,21.36,21.238
1878,Vietnam,Hanoi,21.69,21.216
1879,Vietnam,Hanoi,21.55,21.29
1880,Vietnam,Hanoi,20.99,21.32
1881,Vietnam,Hanoi,21.27,21.298
1882,Vietnam,Hanoi,21.18,21.372
1883,Vietnam,Hanoi,20.83,21.336
1884,Vietnam,Hanoi,20.57,21.164
1885,Vietnam,Hanoi,20.88,20.968
1886,Vietnam,Hanoi,20.95,20.946
1887,Vietnam,Hanoi,21.03,20.882
1888,Vietnam,Hanoi,21.43,20.852
1889,Vietnam,Hanoi,21.46,20.972
1890,Vietnam,Hanoi,21.54,21.15
1891,Vietnam,Hanoi,21.41,21.282
1892,Vietnam,Hanoi,20.7,21.374
1893,Vietnam,Hanoi,20.68,21.308
1894,Vietnam,Hanoi,21.15,21.158
1895,Vietnam,Hanoi,21.35,21.096
1896,Vietnam,Hanoi,21.32,21.058
1897,Vietnam,Hanoi,21.5,21.04
1898,Vietnam,Hanoi,21.47,21.2
1899,Vietnam,Hanoi,21.15,21.358
1900,Vietnam,Hanoi,21.21,21.358
1901,Vietnam,Hanoi,21.38,21.33
1902,Vietnam,Hanoi,22.07,21.342
1903,Vietnam,Hanoi,21.07,21.456
1904,Vietnam,Hanoi,21.33,21.376
1905,Vietnam,Hanoi,21.22,21.412
1906,Vietnam,Hanoi,21.71,21.414
1907,Vietnam,Hanoi,21.3,21.48
1908,Vietnam,Hanoi,21.06,21.326
1909,Vietnam,Hanoi,21.43,21.324
1910,Vietnam,Hanoi,21.16,21.344
1911,Vietnam,Hanoi,21.65,21.332
1912,Vietnam,Hanoi,21.39,21.32
1913,Vietnam,Hanoi,21.14,21.338
1914,Vietnam,Hanoi,22.07,21.354
1915,Vietnam,Hanoi,21.9,21.482
1916,Vietnam,Hanoi,21.07,21.63
1917,Vietnam,Hanoi,20.67,21.514
1918,Vietnam,Hanoi,21.11,21.37
1919,Vietnam,Hanoi,21.8,21.364
1920,Vietnam,Hanoi,21.6,21.31
1921,Vietnam,Hanoi,21.55,21.25
1922,Vietnam,Hanoi,21.72,21.346
1923,Vietnam,Hanoi,22.04,21.556
1924,Vietnam,Hanoi,21.81,21.742
1925,Vietnam,Hanoi,21.08,21.744
1926,Vietnam,Hanoi,21.46,21.64
1927,Vietnam,Hanoi,21.54,21.622
1928,Vietnam,Hanoi,21.51,21.586
1929,Vietnam,Hanoi,21.57,21.48
1930,Vietnam,Hanoi,21.42,21.432
1931,Vietnam,Hanoi,22.02,21.5
1932,Vietnam,Hanoi,21.21,21.612
1933,Vietnam,Hanoi,21.55,21.546
1934,Vietnam,Hanoi,21.13,21.554
1935,Vietnam,Hanoi,22.04,21.466
1936,Vietnam,Hanoi,21.28,21.59
1937,Vietnam,Hanoi,22.04,21.442
1938,Vietnam,Hanoi,21.89,21.608
1939,Vietnam,Hanoi,21.67,21.676
1940,Vietnam,Hanoi,21.77,21.784
1941,Vietnam,Hanoi,22.21,21.73
1942,Vietnam,Hanoi,22.24,21.916
1943,Vietnam,Hanoi,21.98,21.956
1944,Vietnam,Hanoi,21.94,21.974
1945,Vietnam,Hanoi,21.6,22.028
1946,Vietnam,Hanoi,22.91,21.994
1947,Vietnam,Hanoi,21.9,22.134
1948,Vietnam,Hanoi,22.01,22.066
1949,Vietnam,Hanoi,21.98,22.072
1950,Vietnam,Hanoi,21.9,22.08
1951,Vietnam,Hanoi,21.72,22.14
1952,Vietnam,Hanoi,22.34,21.902
1953,Vietnam,Hanoi,22.05,21.99
1954,Vietnam,Hanoi,21.99,21.998
1955,Vietnam,Hanoi,21.61,22
1956,Vietnam,Hanoi,21.45,21.942
1957,Vietnam,Hanoi,21.93,21.888
1958,Vietnam,Hanoi,21.88,21.806
1959,Vietnam,Hanoi,21.82,21.772
1960,Vietnam,Hanoi,22.05,21.738
1961,Vietnam,Hanoi,22.03,21.826
1962,Vietnam,Hanoi,21.61,21.942
1963,Vietnam,Hanoi,21.88,21.878
1964,Vietnam,Hanoi,21.74,21.878
1965,Vietnam,Hanoi,22.09,21.862
1966,Vietnam,Hanoi,22.38,21.87
1967,Vietnam,Hanoi,21.32,21.94
1968,Vietnam,Hanoi,21.67,21.882
1969,Vietnam,Hanoi,21.88,21.84
1970,Vietnam,Hanoi,21.6,21.868
1971,Vietnam,Hanoi,21.29,21.77
1972,Vietnam,Hanoi,21.86,21.552
1973,Vietnam,Hanoi,22.24,21.66
1974,Vietnam,Hanoi,21.54,21.774
1975,Vietnam,Hanoi,21.96,21.706
1976,Vietnam,Hanoi,21.35,21.778
1977,Vietnam,Hanoi,21.75,21.79
1978,Vietnam,Hanoi,21.81,21.768
1979,Vietnam,Hanoi,22.08,21.682
1980,Vietnam,Hanoi,22.08,21.79
1981,Vietnam,Hanoi,22.06,21.814
1982,Vietnam,Hanoi,21.86,21.956
1983,Vietnam,Hanoi,21.56,21.978
1984,Vietnam,Hanoi,21.36,21.928
1985,Vietnam,Hanoi,21.46,21.784
1986,Vietnam,Hanoi,21.9,21.66
1987,Vietnam,Hanoi,22.71,21.628
1988,Vietnam,Hanoi,21.78,21.798
1989,Vietnam,Hanoi,21.72,21.842
1990,Vietnam,Hanoi,22.23,21.914
1991,Vietnam,Hanoi,22.16,22.068
1992,Vietnam,Hanoi,21.49,22.12
1993,Vietnam,Hanoi,21.75,21.876
1994,Vietnam,Hanoi,21.98,21.87
1995,Vietnam,Hanoi,21.51,21.922
1996,Vietnam,Hanoi,21.32,21.778
1997,Vietnam,Hanoi,21.92,21.61
1998,Vietnam,Hanoi,22.65,21.696
1999,Vietnam,Hanoi,22.07,21.876
2000,Vietnam,Hanoi,21.8,21.894
2001,Vietnam,Hanoi,21.79,21.952
2002,Vietnam,Hanoi,22.13,22.046
2003,Vietnam,Hanoi,22.62,22.088
2004,Vietnam,Hanoi,21.79,22.082
2005,Vietnam,Hanoi,21.91,22.026
2006,Vietnam,Hanoi,22.37,22.048
2007,Vietnam,Hanoi,22.26,22.164
2008,Vietnam,Hanoi,21.37,22.19
2009,Vietnam,Hanoi,22.59,21.94
2010,Vietnam,Hanoi,22.57,22.1
2011,Vietnam,Hanoi,21.03,22.232
2012,Vietnam,Hanoi,22.09,21.964
2013,Vietnam,Hanoi,23.1,21.93
